IE_NAME|IE_ACTIVE|IC_GROUP0|IC_GROUP1|IC_GROUP2
Взрывозащищенный  светильник Флагман 20 Ex|Y|Взрывозащищенные||
GALAD ПОБЕДА LED-40-К/К50|Y|Уличное освещение|Консольные|
GALAD ПОБЕДА LED-60|Y|Уличное освещение|Консольные|
GALAD ПОБЕДА LED-80|Y|Уличное освещение|Консольные|
GALAD ПОБЕДА LED-40|Y|Уличное освещение|Консольные|
GALAD ПОБЕДА LED-40-ШБ2/К50|Y|Уличное освещение|Консольные|
GALAD ПОБЕДА LED-100|Y|Уличное освещение|Консольные|
GALAD ПОБЕДА LED-80-ШБ1/К50|Y|Уличное освещение|Консольные|
GALAD ПОБЕДА LED-80-ШБ2/К50|Y|Уличное освещение|Консольные|
GALAD ПОБЕДА LED-125|Y|Уличное освещение|Консольные|
GALAD ПОБЕДА LED-125-ШБ2/К50|Y|Уличное освещение|Консольные|
GALAD ВОЛНА LED-100|Y|Уличное освещение|Консольные|
GALAD ПОБЕДА LED-150|Y|Уличное освещение|Консольные|
GALAD ВОЛНА LED-125|Y|Уличное освещение|Консольные|
GALAD ВОЛНА LED-150|Y|Уличное освещение|Консольные|
GALAD ВОЛНА LED-170|Y|Уличное освещение|Консольные|
GALAD ВОЛНА LED-200|Y|Уличное освещение|Консольные|
GALAD ВОЛНА LED-250|Y|Уличное освещение|Консольные|
GALAD УРБАН S LED-42|Y|Уличное освещение|Консольные|
GALAD УРБАН S LED-56|Y|Уличное освещение|Консольные|
GALAD УРБАН S LED-68|Y|Уличное освещение|Консольные|
GALAD УРБАН M LED-75|Y|Уличное освещение|Консольные|
GALAD УРБАН M LED-98|Y|Уличное освещение|Консольные|
GALAD УРБАН M LED-140|Y|Уличное освещение|Консольные|
GALAD УРБАН M LED-129|Y|Уличное освещение|Консольные|
GALAD УРБАН L LED-82|Y|Уличное освещение|Консольные|
GALAD УРБАН L LED-158|Y|Уличное освещение|Консольные|
GALAD УРБАН L LED-259|Y|Уличное освещение|Консольные|
GALAD УРБАН L LED-306|Y|Уличное освещение|Консольные|
GALAD ВОЛНА МИНИ LED-40|Y|Уличное освещение|Консольные|
GALAD ВОЛНА МИНИ LED-60|Y|Уличное освещение|Консольные|
GALAD ВОЛНА МИНИ LED-80|Y|Уличное освещение|Консольные|
GALAD ОМЕГА LED-40|Y|Уличное освещение|Консольные|
GALAD ОМЕГА LED-60|Y|Уличное освещение|Консольные|
GALAD ОМЕГА LED-80|Y|Уличное освещение|Консольные|
GALAD ОМЕГА LED-40 Premio|Y|Уличное освещение|Консольные|
GALAD ОМЕГА LED-60 Premio|Y|Уличное освещение|Консольные|
GALAD ОМЕГА LED-80 Premio|Y|Уличное освещение|Консольные|
GALAD ОМЕГА LED-100|Y|Уличное освещение|Консольные|
GALAD ОМЕГА LED-120|Y|Уличное освещение|Консольные|
GALAD ОМЕГА LED-100 Premio|Y|Уличное освещение|Консольные|
GALAD ОМЕГА LED-120 Premio|Y|Уличное освещение|Консольные|
GALAD ЦИКЛОП LED-30|Y|Уличное освещение|Консольные|
GALAD ЦИКЛОП LED-40|Y|Уличное освещение|Консольные|
GALAD СТАНДАРТ LED-120|Y|Уличное освещение|Консольные|
GALAD СТАНДАРТ LED-160|Y|Уличное освещение|Консольные|
GALAD СТАНДАРТ LED-200|Y|Уличное освещение|Консольные|
GALAD СТАНДАРТ LED-240|Y|Уличное освещение|Консольные|
GALAD СЕЛЕНА LED-80|Y|Уличное освещение|Консольные|
GALAD АЛЬФА LED-40|Y|Уличное освещение|Консольные|
GALAD АЛЬФА LED-50|Y|Уличное освещение|Консольные|
GALAD ДЕЛЬТА LED-40|Y|Уличное освещение|Консольные|
МАРКЕТ ПРО LED-38W 1200мм|Y|Торговое освещение|Линейные светильники|
МАРКЕТ ПРО LED-45W 1500мм|Y|Торговое освещение|Линейные светильники|
МАРКЕТ ПРО LED-75W 1500мм|Y|Торговое освещение|Линейные светильники|
GALAD ПИКСЕЛЬ LED-18|Y|Торговое освещение|Даунлайты (Downlight)|Круглые светильники Downlight
GALAD ПИКСЕЛЬ LED-24|Y|Торговое освещение|Даунлайты (Downlight)|Круглые светильники Downlight
